"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11544","user should be able to register with all the fields","Smoke Suite","Wed Nov 27 15:53:52 BDT 2024","passed","Wed Nov 27 15:54:03 BDT 2024","testrunner.RegistrationTestRunner","User should be able to register","testrunner.RegistrationTestRunner","registrationWithALlInput"
"","913","User should be able to login","Smoke Suite","Wed Nov 27 15:54:09 BDT 2024","passed","Wed Nov 27 15:54:10 BDT 2024","testrunner.LoginTestRunner","user Login","testrunner.LoginTestRunner","userLogin"
"","3","doLogin","Default Suite","Tue Nov 26 20:06:32 BDT 2024","broken","Tue Nov 26 20:06:32 BDT 2024","testrunner.AdminDashboardTestRunner","TestNG_DailyFinance","testrunner.AdminDashboardTestRunner","doLogin"
"","0","doLogin","Orange HRM DEMO","Tue Nov 26 18:22:18 BDT 2024","broken","Tue Nov 26 18:22:18 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","doLogin"
"","2","doUserLogin","Default Suite","Tue Nov 26 16:20:07 BDT 2024","broken","Tue Nov 26 16:20:07 BDT 2024","testrunner.SearchItemTestRunner","TestNG_DailyFinance","testrunner.SearchItemTestRunner","doUserLogin"
"","3812","addItemFromCSV","Smoke Suite","Wed Nov 27 15:54:22 BDT 2024","passed","Wed Nov 27 15:54:26 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","addItemFromCSV"
"","3571","addItemsV","Default Suite","Thu Nov 21 16:56:05 BDT 2024","passed","Thu Nov 21 16:56:09 BDT 2024","testrunner.DashboardTestRunner","TestNG_DailyFinance","testrunner.DashboardTestRunner","addItemsV"
"","38412","checkRegisteredUser","Daily Finance Automation","Wed Nov 27 14:24:26 BDT 2024","passed","Wed Nov 27 14:25:04 BDT 2024","testrunner.AdminDashboardTestRunner","Seach User","testrunner.AdminDashboardTestRunner","checkRegisteredUser"
"","0","doUserLogin","Orange HRM DEMO","Mon Nov 11 15:51:08 BDT 2024","broken","Mon Nov 11 15:51:08 BDT 2024","testrunner.ProfileTestRunner","Admin can profile image","testrunner.ProfileTestRunner","doUserLogin"
"","0","setup","Daily Finance Automation","Wed Nov 27 11:36:25 BDT 2024","broken","Wed Nov 27 11:36:25 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","setup"
"","3895","addItemFromCSV","Smoke Suite","Wed Nov 27 15:54:26 BDT 2024","passed","Wed Nov 27 15:54:30 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","addItemFromCSV"
"","1","setup","Daily Finance Automation","Wed Nov 27 11:36:27 BDT 2024","broken","Wed Nov 27 11:36:27 BDT 2024","testrunner.SearchItemTestRunner","Search Item","testrunner.SearchItemTestRunner","setup"
"","3870","addItemFromCSV","Smoke Suite","Wed Nov 27 15:54:14 BDT 2024","passed","Wed Nov 27 15:54:18 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","addItemFromCSV"
"","22954","addItemsViaCSV","Default Suite","Thu Nov 14 18:26:55 BDT 2024","broken","Thu Nov 14 18:27:18 BDT 2024","testrunner.DashboardTestRunner","TestNG_DailyFinance","testrunner.DashboardTestRunner","addItemsViaCSV"
"","3146","checkTotalCost","Smoke Suite","Wed Nov 27 15:54:33 BDT 2024","passed","Wed Nov 27 15:54:37 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","checkTotalCost"
"","3581","User should not register without required fields","Default Suite","Wed Nov 27 15:39:11 BDT 2024","passed","Wed Nov 27 15:39:15 BDT 2024","testrunner.RegistrationTestRunner","TestNG_DailyFinance","testrunner.RegistrationTestRunner","registrationWithoutRequired"
"","4"," Add Item Manually","Orange HRM DEMO","Tue Nov 26 18:22:18 BDT 2024","skipped","Tue Nov 26 18:22:18 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","addItem"
"","3","addItemFromCSV","Default Suite","Fri Nov 22 13:39:22 BDT 2024","broken","Fri Nov 22 13:39:22 BDT 2024","testrunner.DashboardTestRunner","TestNG_DailyFinance","testrunner.DashboardTestRunner","addItemFromCSV"
"","563","User should be able to login with valid creds","Orange HRM DEMO","Tue Nov 26 18:21:58 BDT 2024","passed","Tue Nov 26 18:21:58 BDT 2024","testrunner.LoginTestRunner","user Login","testrunner.LoginTestRunner","doAdminLogin"
"","10","User should be able to login with valid creds","Orange HRM DEMO","Tue Nov 26 18:22:15 BDT 2024","broken","Tue Nov 26 18:22:15 BDT 2024","testrunner.LoginTestRunner","user Login","testrunner.LoginTestRunner","doLoginWithValidCreds"
"","2","doUserLogin","Default Suite","Tue Nov 26 15:14:06 BDT 2024","broken","Tue Nov 26 15:14:06 BDT 2024","testrunner.DashboardTestRunner","TestNG_DailyFinance","testrunner.DashboardTestRunner","doUserLogin"
"","3383","searchItem","Smoke Suite","Wed Nov 27 15:54:41 BDT 2024","passed","Wed Nov 27 15:54:44 BDT 2024","testrunner.SearchItemTestRunner","Search Item","testrunner.SearchItemTestRunner","searchItem"
"","3951","user should be able to register only required fields","Default Suite","Wed Nov 20 14:40:31 BDT 2024","passed","Wed Nov 20 14:40:35 BDT 2024","testrunner.RegistrationTestRunner","TestNG_DailyFinance","testrunner.RegistrationTestRunner","registration2"
"","897","User should Not be able to login with invalid creds","Daily Finance Automation","Wed Nov 27 14:25:10 BDT 2024","passed","Wed Nov 27 14:25:11 BDT 2024","testrunner.LoginTestRunner","User Login","testrunner.LoginTestRunner","doNoTLoginWithInvalidCreds"
"","2","setup","Daily Finance Automation","Wed Nov 27 11:35:43 BDT 2024","broken","Wed Nov 27 11:35:43 BDT 2024","testrunner.RegistrationTestRunner","User should be able to register","testrunner.RegistrationTestRunner","setup"
"","4287","user should be able to register only required fields","Default Suite","Wed Nov 27 15:39:15 BDT 2024","passed","Wed Nov 27 15:39:19 BDT 2024","testrunner.RegistrationTestRunner","TestNG_DailyFinance","testrunner.RegistrationTestRunner","registrationWithRequiredInput"
"","0","Add User Token","Orange HRM DEMO","Tue Nov 26 18:54:36 BDT 2024","broken","Tue Nov 26 18:54:36 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","setToken"
"","0","setToken","Orange HRM DEMO","Tue Nov 26 18:54:36 BDT 2024","broken","Tue Nov 26 18:54:36 BDT 2024","testrunner.SearchItemTestRunner","Search Item","testrunner.SearchItemTestRunner","setToken"
"","15316","user should be able to register with all the fields","Default Suite","Wed Nov 20 14:40:16 BDT 2024","passed","Wed Nov 20 14:40:31 BDT 2024","testrunner.RegistrationTestRunner","TestNG_DailyFinance","testrunner.RegistrationTestRunner","registration1"
"","0","setup","Daily Finance Automation","Wed Nov 27 14:05:00 BDT 2024","broken","Wed Nov 27 14:05:00 BDT 2024","testrunner.AdminDashboardTestRunner","Seach User","testrunner.AdminDashboardTestRunner","setup"
"","3702","addItemFromCSV","Smoke Suite","Wed Nov 27 15:54:30 BDT 2024","passed","Wed Nov 27 15:54:33 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","addItemFromCSV"
"","373","User should not register without required fields","Default Suite","Wed Nov 20 13:24:18 BDT 2024","passed","Wed Nov 20 13:24:18 BDT 2024","testrunner.RegistrationTestRunner","TestNG_DailyFinance","testrunner.RegistrationTestRunner","registration3"
"","3701","addItemFromCSV","Smoke Suite","Wed Nov 27 15:54:18 BDT 2024","passed","Wed Nov 27 15:54:22 BDT 2024","testrunner.DashboardTestRunner","Add Cost","testrunner.DashboardTestRunner","addItemFromCSV"
"","0","setToken","Orange HRM DEMO","Tue Nov 26 18:54:36 BDT 2024","broken","Tue Nov 26 18:54:36 BDT 2024","testrunner.ProfileTestRunner","Change Profile","testrunner.ProfileTestRunner","setToken"
"","1201","verify to upload image","Daily Finance Automation","Wed Nov 27 14:25:45 BDT 2024","passed","Wed Nov 27 14:25:46 BDT 2024","testrunner.ProfileTestRunner","Change Profile","testrunner.ProfileTestRunner","uploadImage"
"","0","setup","Daily Finance Automation","Wed Nov 27 14:05:04 BDT 2024","broken","Wed Nov 27 14:05:04 BDT 2024","testrunner.LoginTestRunner","User Login","testrunner.LoginTestRunner","setup"
"","82","searchUser","Default Suite","Tue Nov 26 15:29:09 BDT 2024","passed","Tue Nov 26 15:29:09 BDT 2024","testrunner.SearchUserTestRunner","TestNG_DailyFinance","testrunner.SearchUserTestRunner","searchUser"
"","0","setup","Daily Finance Automation","Wed Nov 27 14:05:07 BDT 2024","broken","Wed Nov 27 14:05:07 BDT 2024","testrunner.ProfileTestRunner","Change Profile","testrunner.ProfileTestRunner","setup"
